State,Postcode,Associated_areas,Reporting_Year,Age_group,Percent_fully_immunised_range
VIC,3342,"Ballan, Beremboke, Blakeville, Bunding, Colbrook and 4 others",2013–14,1 year,80.0-84.9
VIC,3345,Gordon,2013–14,1 year,NP
VIC,3350,"Alfredton, Ballarat Central, Ballarat East, Ballarat North, Canadian and 17 others",2013–14,1 year,90.0-92.4
VIC,3351,"Smythes Creek, Haddon, Ross Creek, Smythesdale, Scarsdale and 22 others",2013–14,1 year,92.5-94.9
VIC,3352,"Miners Rest, Invermay, Cardigan, Magpie, Lal Lal and 52 others",2013–14,1 year,95.0-100.0
VIC,3355,"Wendouree, Lake Gardens, Mitchell Park, Wendouree Village",2013–14,1 year,92.5-94.9
VIC,3356,"Sebastopol, Delacombe",2013–14,1 year,90.0-92.4
VIC,3357,Buninyong,2013–14,1 year,90.0-92.4
VIC,3360,"Linton, Mannibadar, Pittong, Willowvale, Happy Valley",2013–14,1 year,NP
VIC,3361,"Skipton, Bradvale, Carranballac",2013–14,1 year,NP
VIC,3363,"Creswick, Dean, Creswick North, Glendaruel, Langdons Hill and 2 others",2013–14,1 year,90.0-92.4
VIC,3364,"Broomfield, Ascot, Kingston, Newlyn North, Smeaton and 18 others",2013–14,1 year,NP
VIC,3370,"Clunes, Glengower, Mount Cameron, Ullina",2013–14,1 year,NP
VIC,3371,"Talbot, Stony Creek, Amherst, Burnbank, Caralulup and 5 others",2013–14,1 year,NP
VIC,3373,"Beaufort, Raglan, Trawalla, Chute, Cross Roads and 8 others",2013–14,1 year,NP
VIC,3374,Great Western,2013–14,1 year,NP
VIC,3375,"Buangor, Ballyrogan, Bayindeen, Middle Creek",2013–14,1 year,NP
VIC,3377,"Ararat, Moyston, Cathcart, Armstrong, Bulgana and 15 others",2013–14,1 year,90.0-92.4
VIC,3378,"Tatyoon, Yalla-Y-Poora",2013–14,1 year,NP
VIC,3379,"Willaura, Bornes Hill, Chatsworth, Mafeking, Stavely and 2 others",2013–14,1 year,NP
VIC,3380,"Stawell, Stawell West",2013–14,1 year,95.0-100.0
VIC,3381,"Halls Gap, Pomonal, Bellellen, Black Range, Fyans Creek and 6 others",2013–14,1 year,NP
VIC,3384,"Concongella, Landsborough, Navarre, Barkly, Frenchmans and 5 others",2013–14,1 year,NP
VIC,3385,"Deep Lead, Glenorchy, Dadswells Bridge, Ledcourt, Lubeck and 3 others",2013–14,1 year,NP
VIC,3387,"Marnoo, Bolangum, Callawadda, Campbells Bridge, Germania and 6 others",2013–14,1 year,NP
VIC,3388,"Rupanyup, Banyena",2013–14,1 year,NP
VIC,3390,"Murtoa, Kewell",2013–14,1 year,NP
VIC,3392,"Minyip, Boolite, Sheep Hills",2013–14,1 year,NP
VIC,3393,"Warracknabeal, Aubrey, Bangerang, Cannum, Crymelon and 4 others",2013–14,1 year,NP
VIC,3395,"Beulah, Kenmare, Reedy Dam, Rosebery",2013–14,1 year,NP
VIC,3396,Hopetoun,2013–14,1 year,NP
VIC,3400,Horsham,2013–14,1 year,95.0-100.0
VIC,3401,"Haven, Riverside, Pimpinio, McKenzie Creek, Wartook and 28 others",2013–14,1 year,95.0-100.0
VIC,3407,"Balmoral, Englefield, Gatum, Pigeon Ponds, Vasey",2013–14,1 year,NP
VIC,3409,"Natimuk, Douglas, Arapiles, Clear Lake, Duchembegarra and 7 others",2013–14,1 year,NP
VIC,3412,Goroke,2013–14,1 year,NP
VIC,3414,"Dimboola, Antwerp, Tarranyurk",2013–14,1 year,NP
VIC,3418,"Nhill, Netherby, Gerang Gerung, Broughton, Glenlee and 5 others",2013–14,1 year,95.0-100.0
VIC,3419,Kaniva,2013–14,1 year,NP
VIC,3420,"Serviceton, Telopea Downs, Lillimur",2013–14,1 year,NP
VIC,3423,Jeparit,2013–14,1 year,NP
VIC,3424,"Rainbow, Albacutya, Yaapeet",2013–14,1 year,NP
VIC,3427,Diggers Rest,2013–14,1 year,NP
VIC,3428,Bulla,2013–14,1 year,NP
VIC,3429,"Sunbury, Wildwood",2013–14,1 year,92.5-94.9
VIC,3430,Clarkefield,2013–14,1 year,NP
VIC,3431,Riddells Creek,2013–14,1 year,92.5-94.9
VIC,3433,Monegeetta,2013–14,1 year,NP
VIC,3434,"Romsey, Cherokee, Kerrie, Springfield",2013–14,1 year,90.0-92.4
VIC,3435,"Lancefield, Goldie, Benloch, Nulla Vale",2013–14,1 year,85.0-89.9
VIC,3437,"Gisborne, Gisborne South, Bullengarook",2013–14,1 year,92.5-94.9
VIC,3438,New Gisborne,2013–14,1 year,80.0-84.9
VIC,3440,Macedon,2013–14,1 year,NP
VIC,3441,Mount Macedon,2013–14,1 year,NP
VIC,3442,"Woodend, Newham, Carlsruhe, Hesket, Ashbourne and 4 others",2013–14,1 year,80.0-84.9
VIC,3444,"Kyneton, Tylden, Lauriston, Redesdale, Mia Mia and 16 others",2013–14,1 year,80.0-84.9
VIC,3446,"Malmsbury, Drummond North",2013–14,1 year,NP
VIC,3447,Taradale,2013–14,1 year,NP
VIC,3448,"Elphinstone, Metcalfe, Sutton Grange",2013–14,1 year,NP
VIC,3450,"Castlemaine, Moonlight Flat",2013–14,1 year,85.0-89.9
VIC,3451,"Campbells Creek, Chewton, Barkers Creek, Muckleford, Fryerstown and 10 others",2013–14,1 year,75.0-79.9
VIC,3453,"Harcourt, Ravenswood, Harcourt North, Ravenswood South",2013–14,1 year,NP
VIC,3458,"Trentham, Blackwood, Barrys Reef, Fern Hill, Lerderderg and 4 others",2013–14,1 year,NP
VIC,3460,"Daylesford, Basalt",2013–14,1 year,<70.0
VIC,3461,"Glenlyon, Hepburn, Wheatsheaf, Drummond, Mount Franklin and 23 others",2013–14,1 year,90.0-92.4
VIC,3462,"Newstead, Welshmans Reef, Sandon, Green Gully, Muckleford South",2013–14,1 year,NP
VIC,3463,"Maldon, Baringhup, Walmer, Baringhup West, Bradford and 7 others",2013–14,1 year,NP
VIC,3464,Carisbrook,2013–14,1 year,NP
VIC,3465,"Maryborough, Majorca, Daisy Hill, Bowenvale, Alma and 17 others",2013–14,1 year,90.0-92.4
VIC,3467,Avoca,2013–14,1 year,NP
VIC,3468,"Amphitheatre, Mount Lonarch",2013–14,1 year,NP
VIC,3472,"Dunolly, Bet Bet, Betley, Bromley, Dunluce and 6 others",2013–14,1 year,NP
VIC,3475,"Bealiba, Archdale, Archdale Junction, Burkes Flat, Cochranes Creek and 2 others",2013–14,1 year,NP
VIC,3477,"Carapooee, Avon Plains, Beazleys Bridge, Carapooee West, Coonooer Bridge and 25 others",2013–14,1 year,NP
VIC,3478,"St Arnaud, Moonambel, Dooboobetic, Medlyn, Percydale and 3 others",2013–14,1 year,NP
VIC,3480,"Donald, Areegra, Carron, Cope Cope, Corack and 13 others",2013–14,1 year,NP
VIC,3483,"Birchip, Ballapur, Birchip West, Curyo, Jil Jil and 5 others",2013–14,1 year,NP
VIC,3485,"Woomelang, Banyan, Watchupga, Willangie",2013–14,1 year,NP
VIC,3487,Lascelles,2013–14,1 year,NP
VIC,3488,"Speed, Turriff, Turriff East",2013–14,1 year,NP
VIC,3489,Tempy,2013–14,1 year,NP
VIC,3490,"Ouyen, Big Desert, Boinka, Kulwin, Mittyack and 3 others",2013–14,1 year,NP
VIC,3491,Patchewollock,2013–14,1 year,NP
VIC,3494,"Nangiloc, Colignan, Carwarp, Iraak",2013–14,1 year,NP
VIC,3496,"Red Cliffs, Cardross, Werrimull, Meringur, Cullulleraine and 4 others",2013–14,1 year,90.0-92.4
VIC,3498,Irymple,2013–14,1 year,90.0-92.4
VIC,3500,"Mildura, Mildura West",2013–14,1 year,85.0-89.9
VIC,3501,"Nichols Point, Koorlong, Hattah, Mildura South",2013–14,1 year,92.5-94.9
VIC,3505,"Merbein, Birdwoodton, Merbein South, Cabarita, Yelta and 2 others",2013–14,1 year,85.0-89.9
VIC,3509,"Underbool, Linga",2013–14,1 year,NP
VIC,3512,"Murrayville, Carina, Panitya",2013–14,1 year,NP
VIC,3515,"Marong, Shelbourne, Wilsons Hill",2013–14,1 year,NP
VIC,3516,"Bridgewater on Loddon, Bridgewater, Leichardt, Bridgewater North, Derby and 1 other",2013–14,1 year,NP
VIC,3517,"Inglewood, Rheola, Serpentine, Glenalbyn, Bears Lagoon and 6 others",2013–14,1 year,NP
VIC,3518,"Wedderburn, Berrimal, Borung, Fentons Creek, Fernihurst and 11 others",2013–14,1 year,NP
VIC,3520,"Korong Vale, Kinypanial",2013–14,1 year,NP
VIC,3521,Pyalong,2013–14,1 year,NP
VIC,3522,"Tooborac, Glenhope East",2013–14,1 year,NP
VIC,3523,"Heathcote, Mount Camel, Knowsley, Argyle, Costerfield and 5 others",2013–14,1 year,75.0-79.9
VIC,3525,"Charlton, Barrakee, Buckrabanyule, Chirrip, Granite Flat and 8 others",2013–14,1 year,NP
VIC,3527,"Wycheproof, Bunguluke, Dumosa, Glenloth, Glenloth East and 8 others",2013–14,1 year,NP
VIC,3529,"Kalpienung, Nullawil",2013–14,1 year,NP
VIC,3530,"Culgoa, Sutton, Wangie, Warne",2013–14,1 year,NP
VIC,3531,"Berriwillock, Boigbeat",2013–14,1 year,NP
VIC,3533,"Sea Lake, Nandaly, Bimbourie, Lake Tyrrell, Ninda and 7 others",2013–14,1 year,NP
VIC,3537,"Boort, Barraport, Barraport West, Canary Island, Catumnal and 4 others",2013–14,1 year,NP
VIC,3540,"Quambatook, Cannie, Oakvale",2013–14,1 year,NP
VIC,3542,"Lalbert, Cokum, Tittybong",2013–14,1 year,NP
VIC,3544,"Ultima, Chinangin, Gowanford, Murnungin, Ultima East and 2 others",2013–14,1 year,NP
VIC,3546,"Manangatang, Bolton, Chinkapook, Cocamba, Gerahmin and 2 others",2013–14,1 year,NP
VIC,3549,"Robinvale, Wemen, Tol Tol, Annuello, Bannerton and 3 others",2013–14,1 year,75.0-79.9
VIC,3550,"Kennington, Bendigo, Strathdale, North Bendigo, Flora Hill and 9 others",2013–14,1 year,85.0-89.9
VIC,3551,"Strathfieldsaye, Maiden Gully, Epsom, Junortoun, Huntly and 32 others",2013–14,1 year,92.5-94.9
VIC,3555,"Kangaroo Flat, Golden Square, Golden Gully, Big Hill",2013–14,1 year,92.5-94.9
VIC,3556,"Eaglehawk, California Gully, Sailors Gully, Woodvale, Myers Flat and 5 others",2013–14,1 year,85.0-89.9
VIC,3557,"Goornong, Barnadown, Fosterville, Muskerry",2013–14,1 year,NP
VIC,3558,"Elmore, Hunter, Burnewang, Corop West, Runnymede",2013–14,1 year,NP
VIC,3559,"Colbinabbin, Corop, Avonmore, Burramboot, Gobarup",2013–14,1 year,NP
VIC,3561,"Rochester, Bamawm, Nanneella, Ballendella, Diggora and 3 others",2013–14,1 year,90.0-92.4
VIC,3562,Torrumbarry,2013–14,1 year,NP
VIC,3563,Lockington,2013–14,1 year,NP
VIC,3564,"Echuca, Echuca Village, Wharparilla, Bamawm Extension, Echuca West and 4 others",2013–14,1 year,92.5-94.9
VIC,3566,Gunbower,2013–14,1 year,NP
VIC,3567,"Leitchville, Horfield",2013–14,1 year,NP
VIC,3568,"Cohuna, Gannawarra, McMillans, Mead, Keely and 6 others",2013–14,1 year,90.0-92.4
VIC,3570,"Raywood, Neilborough, Auchmore, Drummartin, Kamarooka",2013–14,1 year,NP
VIC,3571,"Dingee, Kamarooka North, Pompapiel, Tandarra",2013–14,1 year,NP
VIC,3572,"Milloo, Piavella, Prairie, Tennyson",2013–14,1 year,NP
VIC,3573,"Calivil, Pine Grove, Mitiamo, Terrick Terrick East",2013–14,1 year,NP
VIC,3575,"Pyramid Hill, Gladfield, Jungaburra, Loddon Vale, Mincha and 4 others",2013–14,1 year,NP
VIC,3576,Durham Ox,2013–14,1 year,NP
VIC,3579,"Kerang, Tragowel, Murrabit, Mystic Park, Appin and 24 others",2013–14,1 year,85.0-89.9
VIC,3580,Koondrook,2013–14,1 year,NP
VIC,3581,Lake Charm,2013–14,1 year,NP
VIC,3584,"Lake Boga, Tresco West",2013–14,1 year,NP
VIC,3585,"Swan Hill, Castle Donnington, Chillingollah, Fish Point, Goschen and 9 others",2013–14,1 year,90.0-92.4
VIC,3586,"Tyntynder South, Tyntynder, Pental Island, Bulga, Murrawee and 1 other",2013–14,1 year,NP
VIC,3588,Woorinen South,2013–14,1 year,NP
VIC,3589,"Woorinen, Woorinen North",2013–14,1 year,NP
VIC,3590,Beverford,2013–14,1 year,NP
VIC,3591,Vinifera,2013–14,1 year,NP
VIC,3594,Nyah,2013–14,1 year,NP
VIC,3595,Nyah West,2013–14,1 year,NP
VIC,3596,"Wood Wood, Miralie, Towan",2013–14,1 year,NP
VIC,3597,"Piangil, Kenley, Kooloonong, Lake Powell, Narrung and 1 other",2013–14,1 year,NP
VIC,3607,Tabilk,2013–14,1 year,NP
VIC,3608,"Nagambie, Wahring, Bailieston, Kirwans Bridge, Goulburn Weir and 3 others",2013–14,1 year,NP
VIC,3610,"Murchison, Dhurringile, Murchison East, Moorilim, Murchison North",2013–14,1 year,NP
VIC,3612,"Rushworth, Waranga Shores, Moora, Wanalta, Whroo",2013–14,1 year,NP
VIC,3614,"Toolamba, Toolamba West",2013–14,1 year,NP
VIC,3616,"Tatura, Harston, Tatura East, Cooma, Gillieston and 3 others",2013–14,1 year,92.5-94.9
VIC,3617,Byrneside,2013–14,1 year,NP
VIC,3618,Merrigum,2013–14,1 year,NP
VIC,3620,"Kyabram, Wyuna, Lancaster, Kyabram South, St Germains and 1 other",2013–14,1 year,80.0-84.9
VIC,3621,"Tongala, Kyvalley, Yambuna",2013–14,1 year,85.0-89.9
VIC,3622,"Koyuga, Strathallan",2013–14,1 year,NP
VIC,3623,"Stanhope, Carag Carag, Stanhope South",2013–14,1 year,NP
VIC,3624,Girgarre,2013–14,1 year,NP
VIC,3629,"Mooroopna, Undera, Ardmona, Mooroopna North, Coomboona",2013–14,1 year,85.0-89.9
VIC,3630,"Shepparton, Branditt, Caniambo, Colliver, Dunkirk and 1 other",2013–14,1 year,85.0-89.9
VIC,3631,"Kialla, Shepparton East, Grahamvale, Orrvale, Shepparton North and 9 others",2013–14,1 year,92.5-94.9
VIC,3633,Congupna,2013–14,1 year,NP
VIC,3634,"Katandra West, Tallygaroopna, Bunbartha, Katandra, Marionvale and 2 others",2013–14,1 year,NP
VIC,3635,"Wunghnu, Kaarimba, Mundoona",2013–14,1 year,NP
VIC,3636,"Numurkah, Invergordon, Drumanure, Naring",2013–14,1 year,85.0-89.9
VIC,3637,"Waaia, Yalca",2013–14,1 year,NP
VIC,3638,"Nathalia, Kotupna, Yielima",2013–14,1 year,NP
VIC,3639,"Picola, Barmah, Lower Moira, Picola West",2013–14,1 year,NP
VIC,3640,Katunga,2013–14,1 year,NP
VIC,3641,"Strathmerton, Bearii, Mywee, Ulupna",2013–14,1 year,95.0-100.0
NSW/ VIC,3644,"Cobram, Barooga, Yarroweyah, Lalalty, Koonoomoo and 2 others",2013–14,1 year,92.5-94.9
VIC,3646,"Dookie, Yabba North, Mount Major, Nalinga, Waggarandall and 2 others",2013–14,1 year,NP
VIC,3649,"Katamatite, Katamatite East",2013–14,1 year,NP
VIC,3658,"Broadford, Clonbinane, Sugarloaf Creek, Strath Creek, Hazeldene and 4 others",2013–14,1 year,90.0-92.4
VIC,3659,Tallarook,2013–14,1 year,NP
VIC,3660,"Seymour, Hilldene, Whiteheads Creek, Highlands, Caveat and 5 others",2013–14,1 year,92.5-94.9
VIC,3662,Puckapunyal,2013–14,1 year,95.0-100.0
VIC,3663,Mangalore,2013–14,1 year,NP
VIC,3664,"Avenel, Upton Hill",2013–14,1 year,NP
VIC,3665,"Longwood, Locksley",2013–14,1 year,NP
VIC,3666,"Euroa, Ruffy, Balmattum, Strathbogie, Miepoll and 11 others",2013–14,1 year,85.0-89.9
VIC,3669,"Violet Town, Boho, Boho South, Creek Junction, Earlston and 6 others",2013–14,1 year,NP
VIC,3670,"Baddaginnie, Warrenbayne, Tarnook",2013–14,1 year,NP
VIC,3672,Benalla,2013–14,1 year,92.5-94.9
VIC,3673,"Swanpool, Lurg, Tatong, Winton, Broken Creek and 10 others",2013–14,1 year,NP
VIC,3675,"Glenrowan, Taminick, Greta West, Greta South, Boweya and 5 others",2013–14,1 year,NP
VIC,3677,"Wangaratta, Yarrunga",2013–14,1 year,92.5-94.9
VIC,3678,"Oxley, Milawa, Wangaratta South, Waldara, Tarrawingee and 30 others",2013–14,1 year,92.5-94.9
VIC,3682,"Norong, Springhurst, Boralma, Lilliput",2013–14,1 year,NP
VIC,3683,"Chiltern, Chiltern Valley, Cornishtown",2013–14,1 year,NP
VIC,3685,"Rutherglen, Boorhaman North, Brimin, Browns Plains, Carlyle and 3 others",2013–14,1 year,95.0-100.0
VIC,3687,Wahgunyah,2013–14,1 year,NP
VIC,3688,"Barnawartha, Indigo Valley",2013–14,1 year,NP
VIC,3690,"Wodonga, West Wodonga",2013–14,1 year,92.5-94.9
VIC,3691,"Baranduda, Leneva, Bandiana, Bethanga, Staghorn Flat and 29 others",2013–14,1 year,95.0-100.0
VIC,3694,Bandiana Milpo,2013–14,1 year,NP
VIC,3695,"Huon, Charleroi, Sandy Creek",2013–14,1 year,NP
VIC,3697,Tawonga,2013–14,1 year,NP
VIC,3698,Tawonga South,2013–14,1 year,NP
VIC,3699,"Mount Beauty, Bogong, Falls Creek, Nelse",2013–14,1 year,NP
VIC,3700,"Tallangatta, Bullioh, Georges Creek, Jarvis Creek, Tallangatta East",2013–14,1 year,NP
VIC,3701,"Eskdale, Tallangatta Valley, Tallangatta South, Mitta Mitta, Dartmouth and 4 others",2013–14,1 year,NP
VIC,3707,"Corryong, Nariel Valley, Biggara, Bringenbrong, Colac Colac and 4 others",2013–14,1 year,NP
VIC,3709,"Walwa, Burrowye, Guys Forest, Mount Alfred, Pine Mountain",2013–14,1 year,NP
VIC,3711,Buxton,2013–14,1 year,NP
VIC,3712,"Thornton, Rubicon",2013–14,1 year,NP
VIC,3713,"Eildon, Taylor Bay, Lake Eildon",2013–14,1 year,NP
VIC,3714,"Alexandra, Taggerty, Acheron, Cathkin, Crystal Creek and 5 others",2013–14,1 year,90.0-92.4
VIC,3715,"Merton, Ancona, Woodfield",2013–14,1 year,NP
VIC,3717,"Yea, Flowerdale, Glenburn, Murrindindi, Ghin Ghin and 3 others",2013–14,1 year,NP
VIC,3718,Molesworth,2013–14,1 year,NP
VIC,3719,"Yarck, Gobur, Kanumbra, Terip Terip",2013–14,1 year,NP
VIC,3720,Bonnie Doon,2013–14,1 year,NP
VIC,3722,"Mansfield, Barwite, Mirimbah",2013–14,1 year,92.5-94.9
VIC,3723,"Merrijig, Tolmie, Howqua Inlet, Jamieson, Goughs Bay and 20 others",2013–14,1 year,NP
VIC,3725,"Goorambat, Boxwood, Chesney Vale, Major Plains, Stewarton",2013–14,1 year,NP
VIC,3726,"Devenish, Bungeet, Bungeet West, Thoona",2013–14,1 year,NP
VIC,3727,"St James, Almonds, Lake Rowan, Pelluebla, Yundool",2013–14,1 year,NP
VIC,3728,"Tungamah, Wilby, Boomahnoomoonah, Youarang",2013–14,1 year,NP
VIC,3730,"Yarrawonga, Bundalong, Burramine, Bathumi, Boosey and 5 others",2013–14,1 year,90.0-92.4
VIC,3732,"Moyhu, Myrrhee",2013–14,1 year,NP
VIC,3735,"Whorouly, Bowmans Forest, Whorouly East, Whorouly South",2013–14,1 year,NP
